,Vorhand,Verben,Präpositionen,Vier Fällen
0,,ab|hängen,von,Dat
1,,achten,auf,Akk
2,etw,ändern,an,Dat
3,etw,an|fangen,mit,Dat
4,s.,ängstigen,um,Akk
5,,an|kommen,auf,Akk
6,jdn,an|sehen,als,Akk
7,,antworten,auf,Akk
8,,arbeiten,als,Nom
9,,arbeiten,an,Dat
10,,arbeiten,bei,Dat
11,s.,ärgern,über,Akk
12,,auf|hören,mit,Dat
13,,auf|passen,auf,Akk
14,s.,auf|regen,über,Akk
15,,aus|geben,für,Akk
16,s.,bedanken,bei,Dat
17,s.,bedanken,für,Akk
18,s.,beeilen,mit,Dat
19,,beginnen,mit,Dat
20,s.,beklagen,bei,Dat
21,s.,beklagen,über,Akk
22,s.,bemühen,um,Akk
23,,berichten,über,Akk
24,s.,beschweren,bei,Dat
25,s.,beschweren,über,Akk
26,s.,bewerben,um,Akk
27,s.,bezeichnen,als,Akk
28,s.,bitten,um,Akk
29,jdn,bringen,zu,Dat
30,jdm,danken,für,Akk
31,,denken,an,Akk
32,s.,eignen,für,Akk
33,s.,einigen,auf,Akk
34,s.,einigen,mit,Dat
35,jdn,ein|laden,zu,Dat
36,s.,ekeln,vor,Dat
37,s.,entscheiden,für,Akk
38,s.,entschließen,zu,Dat
39,s.,entschuldigen,für,Akk
40,s.,erholen,von,Dat
41,s.,erinnern,an,Akk
42,s.,erkundigen,bei,Dat
43,s.,erkundigen,nach,Dat
44,s.,ernähren,von,Dat
45,jdn,erziehen,zu,Dat
46,,fliehen,vor,Dat
47,,fragen,nach,Dat
48,s.,freuen,auf,Akk
49,s.,freuen,über,Akk
50,s.,fürchten,vor,Dat
51,,gehören,zu,Dat
52,es,geht,um,Akk
53,,gelten,als,Nom
54,,geraten,in,Akk
55,s.,gewöhnen,an,Akk
56,,glauben,an,Akk
57,jdm,gratulieren,zu,Dat
58,,handeln,mit,Dat
59,,handeln,von,Dat
60,s.,handeln,um,Akk
61,jdm,helfen,bei,Dat
62,,hoffen,auf,Akk
63,s.,informieren,über,Akk
64,s.,interessieren,für,Akk
65,,kämpfen,für,Akk
66,,kämpfen,gegen,Akk
67,,kämpfen,um,Akk
68,s.,kümmern,um,Akk
69,,lachen,über,Akk
70,,leben,von,Dat
71,,leiden,an,Dat
72,,leiden,unter,Dat
73,,nach|denken,über,Akk
74,,passen,zu,Dat
75,,protestieren,gegen,Akk
76,,rechnen,mit,Dat
77,,riechen,nach,Dat
78,,schießen,auf,Akk
79,,schimpfen,mit,Dat
80,,schmecken,nach,Dat
81,etw,schreiben,an,Akk
82,s.,sehnen,nach,Dat
83,,sorgen,für,Akk
84,s.,sorgen,um,Akk
85,,spielen,mit,Dat
86,,spielen,um,Akk
87,,sprechen,mit,Dat
88,,sprechen,über,Akk
89,,sprechen,von,Dat
90,,sterben,an,Dat
91,,stimmen,für,Akk
92,,stimmen,gegen,Akk
93,s.,streiten,mit,Dat
94,s.,streiten,um,Akk
95,,suchen,nach,Dat
96,,teil|nehmen,an,Dat
97,,telefonieren,mit,Dat
98,,träumen,von,Dat
99,s.,überreden,zu,Dat
100,jdn,überzeugen,von,Dat
101,s.,verabreden,mit,Dat
102,,verfügen,über,Akk
103,etw,verlangen,von,Dat
104,s.,verlassen,auf,Akk
105,s.,verlieben,in,Akk
106,,verstoßen,gegen,Akk
107,s.,vertragen,mit,Dat
108,s.,vor|bereiten,auf,Akk
109,,wählen,zu,Dat
110,jdn,warnen,vor,Dat
111,,warten,auf,Akk
112,s.,wehren,gegen,Akk
113,,wetten,um,Akk
114,s.,wundern,über,Akk
115,,zu|gehen,auf,Akk
116,,zweifeln,an,Dat
